season_id,episode,challenge,format,role,winner
s14_the_inferno_3,12,Giraffic Park,team,prize,Johnny Bananas
s14_the_inferno_3,12,Giraffic Park,team,prize,Paula Meronek
s14_the_inferno_3,12,Giraffic Park,team,prize,Susie Meister
s14_the_inferno_3,12,Giraffic Park,team,prize,Davis Mallory
s14_the_inferno_3,13,Captain's Chair,team,prize,Evelyn Smith
s14_the_inferno_3,13,Captain's Chair,team,prize,Janelle Casanave
s14_the_inferno_3,13,Captain's Chair,team,prize,Tonya Cooley
s14_the_inferno_3,13,Captain's Chair,team,prize,Aneesa Ferreira
s14_the_inferno_3,13,Captain's Chair,team,prize,CT Tamburello
s14_the_inferno_3,14,Hook Me,team,prize,Evelyn Smith
s14_the_inferno_3,14,Hook Me,team,prize,Janelle Casanave
s14_the_inferno_3,14,Hook Me,team,prize,Tonya Cooley
s14_the_inferno_3,14,Hook Me,team,prize,CT Tamburello
s14_the_inferno_3,15,Nothin' but Net,team,prize,Evelyn Smith
s14_the_inferno_3,15,Nothin' but Net,team,prize,Janelle Casanave
s14_the_inferno_3,15,Nothin' but Net,team,prize,Tonya Cooley
s14_the_inferno_3,15,Nothin' but Net,team,prize,CT Tamburello
