episode,challenge,format,role,winner
1,Don't Cross Me,pair,prize,Cara Maria Sorbello
1,Don't Cross Me,pair,prize,Big Easy Banks
1,Don't Cross Me,pair,safety,Lacey Buehler
1,Don't Cross Me,pair,safety,Wes Bergmann
2,Oil Change,pair,prize,Danny Jamieson
2,Oil Change,pair,prize,Melinda Collins
2,Oil Change,pair,safety,Camila Nakagawa
2,Oil Change,pair,safety,Big Easy Banks
3,"Hook, Line & Sinker",pair,prize,Brandon Nelson
3,"Hook, Line & Sinker",pair,prize,Cara Maria Sorbello
3,"Hook, Line & Sinker",pair,safety,Chet Cannon
3,"Hook, Line & Sinker",pair,safety,Sarah Rice
4/5,Don't Weigh Me Down,pair,prize,Devyn Simone
4/5,Don't Weigh Me Down,pair,prize,JD Ordoñez
4/5,Don't Weigh Me Down,pair,safety,Camila Nakagawa
4/5,Don't Weigh Me Down,pair,safety,Big Easy Banks
5,Chairman of the Board,pair,prize,McKenzie Coburn
5,Chairman of the Board,pair,prize,Preston Roberson-Charles
5,Chairman of the Board,pair,safety,Chet Cannon
5,Chairman of the Board,pair,safety,Sarah Rice
6,Insane Games,pair,prize,Laura Waller
6,Insane Games,pair,prize,Trey Weatherholtz
6,Insane Games,pair,safety,Dustin Zito
6,Insane Games,pair,safety,Nany González
7,Logged Out,pair,prize,Jemmye Carroll
7,Logged Out,pair,prize,Ryan Knight
7,Logged Out,pair,safety,Sam McGinn
7,Logged Out,pair,safety,Zach Nichols
8,Hunger Games,pair,prize,Sam McGinn
8,Hunger Games,pair,prize,Zach Nichols
8,Hunger Games,pair,safety,CJ Koegel
8,Hunger Games,pair,safety,Jasmine Reynaud
9,Abandon Ship,pair,prize,Marie Roda
9,Abandon Ship,pair,prize,Robb Schreiber
9,Abandon Ship,pair,safety,Alton Williams
9,Abandon Ship,pair,safety,Nany González
10,Force Field,pair,prize,Dustin Zito
10,Force Field,pair,prize,Trishelle Cannatella
10,Force Field,pair,safety,Marie Roda
10,Force Field,pair,safety,Robb Schreiber
11,Sling Shot,pair,prize,Derek Chavez
11,Sling Shot,pair,prize,Jonna Mannion
11,Sling Shot,pair,safety,Ashley Kelsey
11,Sling Shot,pair,safety,Frank Fox
