episode,challenge,format,role,winner
1,Compromised,pair,prize,Michaela Bradshaw
1,Compromised,pair,prize,Renan Hellemans
1,Compromised,pair,safety,Corey Lay
1,Compromised,pair,safety,Michele Fitzgerald
2,Heli Heist,pair,prize,Kelz Dyke
2,Heli Heist,pair,prize,Tracy Candela
2,Heli Heist,pair,safety,Ed Eason
2,Heli Heist,pair,safety,Emy Alupei
3,Sea Cave Recon,pair,prize,Jeremiah White
3,Sea Cave Recon,pair,prize,Tacha Akide
3,Sea Cave Recon,pair,safety,Berna Canbeldek
3,Sea Cave Recon,pair,safety,Corey Lay
4,Undercover Comms,pair,prize,Corey Lay
4,Undercover Comms,pair,prize,Michele Fitzgerald
4,Undercover Comms,pair,safety,Amber Borzotra
4,Undercover Comms,pair,safety,Hughie Maughan
5,Mindfield,pair,prize,Aneesa Ferreira
5,Mindfield,pair,prize,Logan Sampedro
5,Mindfield,individual,safety,Gabo Szabó
6/7,Turning Agents,pair,prize,Esther Agunbiade
6/7,Turning Agents,pair,prize,Faysal Shafaat
6/7,Turning Agents,individual,safety,Emy Alupei
8,Dive Bomb,pair,prize,Berna Canbeldek
8,Dive Bomb,pair,prize,Hughie Maughan
8,Dive Bomb,pair,safety,Jeremiah White
8,Dive Bomb,pair,safety,Priscilla Anyabu
9,Bombshell Battle,pair,prize,Bettina Buchanan
9,Bombshell Battle,pair,prize,Cory Wharton
9,Bombshell Battle,pair,safety,Amber Borzotra
9,Bombshell Battle,pair,safety,Jeremiah White
10,Diamond Dash,individual,prize,Priscilla Anyabu
10,Diamond Dash,individual,safety,Ashley Mitchell
11,Satellite Sabotage,individual,prize,Ed Eason
11,Satellite Sabotage,individual,safety,Kyle Christie
12,Brush Contact,individual,prize,Emy Alupei
12,Brush Contact,individual,safety,Bettina Buchanan
13,Sunken Intelligence,individual,prize,Cory Wharton
13,Sunken Intelligence,individual,safety,Logan Sampedro
14,Submerged,individual,prize,Amanda Garcia
14,Submerged,individual,safety,Big T Fazakerley
15,Boom Raiders,individual,prize,Kyle Christie
15,Boom Raiders,individual,safety,Josh Martinez
16,Million Dollar Heist,individual,prize,Big T Fazakerley
16,Million Dollar Heist,individual,safety,Emy Alupei
17,Dead Drop,individual,prize,Logan Sampedro
17,Dead Drop,individual,safety,Emanuel Neagu
18,,individual,prize,Amanda Garcia
18,,individual,safety,Tori Deal
18,,individual,prize,Emanuel Neagu
18,,individual,safety,Devin Walker
