player,gender,finish,origin,team,pair_id
CT Tamburello,M,Winner in The Decision,w:c:mtvrealworld:The Real World: Paris,,
Kyle Christie,M,Runner-Up in The Decision,,,
Devin Walker,M,Third Place in The Decision,,,
Nelson Thomas,M,Fourth Place in The Decision,,,
Emanuel Neagu,M,Eliminated in Night of Mistakes,,,
Logan Sampedro,M,Eliminated in Drop Dead,,,
Josh Martinez,M,Eliminated in The Cave of the Wolf,,,
Cory Wharton,M,Eliminated in Titanic,w:c:mtvrealworld:Real World: Ex-Plosion,,
Ed Eason,M,Eliminated in Mucus Plug,,,
Jeremiah White,M,Eliminated in The War,,,
Hughie Maughan,M,Eliminated in The Threat,,,
Faysal Shafaat,M,Disqualified in Uncle CT,,,
Gabo Szabó,M,Eliminated in Good Vibes and Gladiator,,,
Corey Lay,M,Eliminated in Messy,,,
Tommy Sheehan,M,Medically Disqualified in Truce or Dare,,,
Kelz Dyke,M,Eliminated in Bertha,,,
Renan Hellemans,M,Eliminated in The List,,,
Nam Vo,M,Medically Disqualified in The List,,,
Kaycee Clark,F,Winner in The Decision,,,
Tori Deal,F,Runner-Up in The Decision,,,
Emy Alupei,F,Third Place in The Decision,,,
Nany González,F,Fourth Place in The Decision,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
Amanda Garcia,F,Eliminated in Night of Mistakes,,,
Big T Fazakerley,F,Eliminated in Riverdance,,,
Ashley Mitchell,F,Disqualified in Mavericks,w:c:mtvrealworld:Real World: Ex-Plosion,,
Bettina Buchanan,F,Eliminated in 500,,,
Priscilla Anyabu,F,Eliminated in Precious Stones,,,
Amber Borzotra,F,Eliminated in The War,,,
Berna Canbeldek,F,Eliminated in The Threat,,,
Esther Agunbiade,F,Eliminated in Uncle CT,,,
Aneesa Ferreira,F,Medically Disqualified in Good Vibes and Gladiator,w:c:mtvrealworld:The Real World: Chicago,,
Michele Fitzgerald,F,Eliminated in Messy,,,
Tacha Akide,F,Eliminated in Truce or Dare,,,
Tracy Candela,F,Eliminated in Bertha,,,
Lauren Coogan,F,Disqualified before Bertha,,,
Michaela Bradshaw,F,Eliminated in The List,,,
