season_id,player,episode,game,opponent,fandom_result
s25_free_agents,Cara Maria Sorbello,4,Oppenheimer,LaToya Jackson,W
s25_free_agents,Cara Maria Sorbello,9,Balls In,Jessica McCain,W
s25_free_agents,Cara Maria Sorbello,11,Wrecking Wall,Laurel Stucky,L
s27_battle_of_the_bloodlines,Cara Maria Sorbello,10,Through Thick and Thin,Johnny Bananas,W
s27_battle_of_the_bloodlines,Cara Maria Sorbello,10,Through Thick and Thin,Vince Gliatta,W
s27_battle_of_the_bloodlines,Cara Maria Sorbello,11,Mine Not Yours,Aneesa Ferreira,W
s29_invasion_of_the_champions,Cara Maria Sorbello,7,Pole Wrestle,Ashley Kelsey,W
s29_invasion_of_the_champions,Cara Maria Sorbello,9/10,Balls In,Laurel Stucky,L
s32_final_reckoning,Cara Maria Sorbello,15,Meet Me Halfway,Nelson Thomas,L
s32_final_reckoning,Cara Maria Sorbello,15,Meet Me Halfway,Shane Landrum,L
s40_battle_of_the_eras,Cara Maria Sorbello,2,Take Shelter,KellyAnne Judd,W
s40_battle_of_the_eras,Cara Maria Sorbello,17,The Final Elimination,Tori Deal,L
s07_the_gauntlet,Cara Zavaleta,7,Knock Your Block Off,Elka Walker,W
s07_the_gauntlet,Cara Zavaleta,15,Ride 'Em Cowboy,Theo Gantt,W
s11_the_gauntlet_2,Cara Zavaleta,11,Name That Coconut,Kina Dean,L
s19_fresh_meat_ii,Carley Johnson,6,Weight for Me,CJ Koegel,W
s19_fresh_meat_ii,Carley Johnson,6,Weight for Me,Sydney Walker,W
s19_fresh_meat_ii,Carley Johnson,8/9,Weight for Me: Black Out,Evelyn Smith,W
s19_fresh_meat_ii,Carley Johnson,8/9,Weight for Me: Black Out,Luke Wolfe,W
s12_fresh_meat,Casey Cooper,2,Beach Course,Danny Jamieson,W
s12_fresh_meat,Casey Cooper,2,Beach Course,Evelyn Smith,W
s12_fresh_meat,Casey Cooper,4,Forest Course,Melinda Collins,W
s12_fresh_meat,Casey Cooper,4,Forest Course,Ryan Kehoe,W
s12_fresh_meat,Casey Cooper,6,Cliffside Course,Johanna Botta,W
s12_fresh_meat,Casey Cooper,6,Cliffside Course,Jesse Stark,W
s12_fresh_meat,Casey Cooper,8,Forest Course,Tonya Cooley,W
s12_fresh_meat,Casey Cooper,8,Forest Course,Johnnie McBride,W
s12_fresh_meat,Casey Cooper,12,Cliffside Course,Shane Landrum,W
s12_fresh_meat,Casey Cooper,12,Cliffside Course,Linette Gallo,W
s13_the_duel,Casey Cooper,6,Pole Wrestle,Robin Hibbard,L
s15_the_gauntlet_iii,Casey Cooper,7,Ball Brawl,Evelyn Smith,L
s18_the_ruins,Casey Cooper,9,Muay Thai,Susie Meister,L
s41_vets_and_new_threats,Cedric Hodges,16,Tight Quarters,Aviv Melmed,W
s41_vets_and_new_threats,Cedric Hodges,16,Tight Quarters,Will Gagnon,W
s41_vets_and_new_threats,Cedric Hodges,17,Balls In 2.0,Nany González,W
s41_vets_and_new_threats,Cedric Hodges,17,Balls In 2.0,Justin Hinsley,W
s12_fresh_meat,Chanda Sneed,14,Beach Course,Tina Barta,L
s12_fresh_meat,Chanda Sneed,14,Beach Course,Kenny Santucci,L
s33_war_of_the_worlds,Chase McNary,2,Drone Ball Drop,Hunter Barfield,L
s33_war_of_the_worlds,Chase McNary,2,Drone Ball Drop,Georgia Harrison,L
s38_ride_or_dies,Chauncey Palmer,7,Deep Web,Darrell Taylor,W
s38_ride_or_dies,Chauncey Palmer,7,Deep Web,Veronica Portillo,W
s38_ride_or_dies,Chauncey Palmer,15,Rumble Tumble,Aneesa Ferreira,L
