player,gender,era_total,era_daily,era_elim,era_within,era_field
Frank Fox,M,1.72,0.24,1.91,2.43,1.98
Frank Roessler,M,1.03,1.19,0.76,1.2,0.62
Frank Sweeney,M,0.63,0.55,1.17,0.55,0.17
Gabby Allen,F,0.0,0.26,0.0,0.12,0.0
Gabe Wai,M,0.4,0.42,0.84,0.5,0.0
Gabo Szabó,M,0.0,0.46,0.0,0.0,0.0
Genesis Moss,F,0.0,0.29,0.0,0.0,0.0
Georgia Harrison,F,1.09,0.78,2.23,1.14,0.27
Gladys Sanabria,F,0.11,0.62,0.0,0.08,0.0
Gus Smyrnios,M,0.0,0.04,0.0,0.0,0.0
Hailey Chivers,F,0.0,0.35,0.0,0.0,0.0
Heather Cooke,F,0.61,0.35,0.57,0.59,0.74
Holly Brentson,F,0.42,0.54,0.48,0.2,0.55
Holly Shand,F,0.05,0.0,0.44,0.51,0.0
Horacio Gutiérrez Jr.,M,1.31,1.0,2.75,0.1,1.82
Hughie Maughan,M,0.21,1.15,0.01,0.33,0.0
Hunter Barfield,M,1.86,0.5,2.95,2.51,1.54
Ibis Nieves,F,0.27,0.56,0.0,0.69,0.23
Isaac Stout,M,0.2,0.77,0.36,0.28,0.0
Izzy Fairthorne,F,0.05,0.48,0.0,0.0,0.0
JD Ordoñez,M,0.14,0.41,0.83,0.0,0.58
Jake Bronstein,M,0.0,0.14,0.0,0.0,0.0
Jake Cornish,M,0.17,0.29,0.23,0.22,0.0
Jakk Maddox,M,0.0,0.04,0.08,0.0,0.0
James Lock,M,0.38,0.49,0.34,0.33,0.0
James Orlando,M,0.25,0.43,0.24,0.21,0.0
Jamie Banks,M,2.19,1.89,2.3,2.7,1.99
Jamie Chung,F,1.05,1.06,0.88,1.25,0.57
Jamie Murray,M,1.31,0.47,1.16,1.43,1.42
Janelle Casanave,F,0.48,0.26,0.39,0.71,0.28
Jasmine Reynaud,F,0.0,0.12,0.17,0.0,0.0
Jay Mitchell,M,0.24,0.0,0.26,0.0,0.97
Jay Starrett,M,0.3,1.03,0.64,0.45,0.0
Jeff Barr,M,0.0,0.25,0.0,0.0,0.0
Jemmye Carroll,F,0.5,0.61,0.98,0.0,0.81
Jenn Grijalva,F,0.36,0.22,0.99,0.0,1.73
Jenn Lee,F,0.07,0.69,0.0,0.27,0.0
Jenna Compono,F,1.41,0.44,1.87,0.74,3.16
Jenny West,F,1.54,1.06,2.03,2.46,1.5
Jeremiah White,M,0.33,0.74,0.35,0.41,0.0
Jesse Stark,M,0.0,0.0,0.22,0.0,0.0
Jessica Brody,F,0.0,0.36,0.0,0.0,0.0
Jessica McCain,F,0.14,0.67,0.0,0.1,0.0
Jill Tuttle,M,0.38,1.13,0.0,0.3,0.16
Jillian Zoboroski,F,1.41,0.95,1.54,1.5,1.33
Jisela Delgado,F,0.0,0.31,0.0,0.0,0.0
Jo Rhodes,F,0.0,0.0,0.47,0.0,0.0
Jodi Weatherton,F,1.37,0.83,1.2,1.85,0.99
Johanna Botta,F,1.18,0.66,0.42,2.4,0.54
John Jacobs,M,0.0,0.49,0.0,0.0,0.0
Johnnie McBride,M,0.0,0.0,0.22,0.0,0.0
Johnny Bananas,M,8.3,6.21,8.99,11.43,8.86
Johnny Middlebrooks,M,0.0,0.31,0.0,0.0,0.0
Johnny Reilly,M,1.7,0.85,1.99,1.47,2.04
Jonna Mannion,F,0.0,0.1,0.17,0.0,0.0
Jordan Wiseley,M,5.93,3.54,8.05,6.35,7.18
Joseph Allen,M,0.0,0.65,0.0,0.03,0.0
Josh Martinez,M,0.01,1.97,0.0,0.07,0.0
Joss Mooney,M,1.14,0.72,1.65,1.03,1.3
Jozea Flores,M,0.0,0.76,0.0,0.0,0.0
Jujuy Jiménez,F,0.0,0.17,0.0,0.0,0.0
Julia Nolan,F,0.04,0.0,0.92,0.02,0.0
Justin Hinsley,M,0.25,0.42,0.12,0.29,0.0
Kailah Casillas-Bird,F,1.69,3.27,1.71,1.02,1.13
Kam Williams,F,1.77,1.41,2.34,2.48,0.48
Katie Cooley,F,0.89,2.64,0.73,2.04,0.09
Kaycee Clark,F,2.48,1.26,2.52,3.41,3.31
