season_id,player,episode,game,result
s11_the_gauntlet_2,Ace Amerson,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s11_the_gauntlet_2,Ace Amerson,1,Royal Rumble,S
s11_the_gauntlet_2,Ace Amerson,2,Chock Full o' Coconuts,S
s11_the_gauntlet_2,Ace Amerson,3,Team Builders,W
s11_the_gauntlet_2,Ace Amerson,4,Moving Pyramid,W
s11_the_gauntlet_2,Ace Amerson,5,Spongeworthy,S
s11_the_gauntlet_2,Ace Amerson,6,Body Painters,W
s11_the_gauntlet_2,Ace Amerson,7,Rickshaw Races,S
s11_the_gauntlet_2,Ace Amerson,8,Team Strength,L
s14_the_inferno_3,Ace Amerson,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s14_the_inferno_3,Ace Amerson,1,Unbraided,S
s14_the_inferno_3,Ace Amerson,2/3,Ladder Race,S
s14_the_inferno_3,Ace Amerson,3,Battering Ram,S
s14_the_inferno_3,Ace Amerson,4,Wrap and Roll,S
s14_the_inferno_3,Ace Amerson,5,Rope Burn,S
s14_the_inferno_3,Ace Amerson,6,Reversible Climbing Wall,S
s14_the_inferno_3,Ace Amerson,7,Grape Smash,S
s14_the_inferno_3,Ace Amerson,8,Steady as You Go,S
s14_the_inferno_3,Ace Amerson,9,Leaps and Bounds,S
s14_the_inferno_3,Ace Amerson,10,Dog Day Afternoon,W
s14_the_inferno_3,Ace Amerson,11,Hand Car,S
s14_the_inferno_3,Ace Amerson,12,Giraffic Park,S
s14_the_inferno_3,Ace Amerson,13,Captain's Chair,S
s14_the_inferno_3,Ace Amerson,14,Hook Me,S
s14_the_inferno_3,Ace Amerson,15,Nothin' but Net,S
s14_the_inferno_3,Ace Amerson,16,The Big Five,?
s09_battle_of_the_sexes_2,Adam King,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s09_battle_of_the_sexes_2,Adam King,1/2,Dangle Drop,W
s09_battle_of_the_sexes_2,Adam King,3,Snake Pit Poker,S
s09_battle_of_the_sexes_2,Adam King,4,Melt with You,L
s11_the_gauntlet_2,Adam King,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s11_the_gauntlet_2,Adam King,1,Royal Rumble,S
s11_the_gauntlet_2,Adam King,2,Chock Full o' Coconuts,W
s11_the_gauntlet_2,Adam King,3,Team Builders,S
s11_the_gauntlet_2,Adam King,4,Moving Pyramid,S
s11_the_gauntlet_2,Adam King,5,Spongeworthy,W
s11_the_gauntlet_2,Adam King,6,Body Painters,L
s15_the_gauntlet_iii,Adam King,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s15_the_gauntlet_iii,Adam King,1,Tug of War,W
s15_the_gauntlet_iii,Adam King,1,Piñata Pit,W
s15_the_gauntlet_iii,Adam King,2,Screw You,W
s15_the_gauntlet_iii,Adam King,2,Roped In,W
s15_the_gauntlet_iii,Adam King,3,Wring Out,W
s15_the_gauntlet_iii,Adam King,3,Blind Man's Maze,S
s15_the_gauntlet_iii,Adam King,4,Push It,W
s15_the_gauntlet_iii,Adam King,4,Man Overboard,W
s15_the_gauntlet_iii,Adam King,5,Assembly Required,S
s15_the_gauntlet_iii,Adam King,5,Walk the Plank,W
s15_the_gauntlet_iii,Adam King,6,Pole Push,W
s15_the_gauntlet_iii,Adam King,6,I Dig You,W
s15_the_gauntlet_iii,Adam King,7,Over the Edge,S
s15_the_gauntlet_iii,Adam King,7,Mexican Blanket,W
s15_the_gauntlet_iii,Adam King,8/9,Chill Out,S
s15_the_gauntlet_iii,Adam King,8/9,Well-Balanced,L
s15_the_gauntlet_iii,Adam King,9,Army Strong,?
s17_the_duel_ii,Adam King,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s17_the_duel_ii,Adam King,1,,?
s18_the_ruins,Adam King,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s18_the_ruins,Adam King,1,Chain Gang,S
s18_the_ruins,Adam King,2,Swing on By,S
s18_the_ruins,Adam King,3,Repo Race,L
s21_rivals,Adam King,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s21_rivals,Adam King,1,High Dive,S
s21_rivals,Adam King,2,Car Crusher,W
s21_rivals,Adam King,3,Sync or Swim,W
s21_rivals,Adam King,4,Hammock Crawl,S
s21_rivals,Adam King,5,Against the Current,S
s21_rivals,Adam King,6,Catch and Release,L
s21_rivals,Adam King,7,Sawed Off,S
s21_rivals,Adam King,8/9,Bombs Away,L
s26_battle_of_the_exes_ii,Adam Kuhn,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s26_battle_of_the_exes_ii,Adam Kuhn,1,I Got You Babe,L
s26_battle_of_the_exes_ii,Adam Kuhn,2,Rounding the Bases,S
s26_battle_of_the_exes_ii,Adam Kuhn,3,"On Again, Off Again",L
s26_battle_of_the_exes_ii,Adam Kuhn,4,The Brush Off,L
s26_battle_of_the_exes_ii,Adam Kuhn,5,Open Arms,S
s26_battle_of_the_exes_ii,Adam Kuhn,6/7,Don't Forget About Me,L
s05_battle_of_the_seasons,Adam Larson,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s05_battle_of_the_seasons,Adam Larson,1,Hang Man,S
s05_battle_of_the_seasons,Adam Larson,3/4,Musical Inner-Tube Tango,S
s05_battle_of_the_seasons,Adam Larson,5/6,Vertical Limit,S
s05_battle_of_the_seasons,Adam Larson,6,Slam Dunk,L
s07_the_gauntlet,Adam Larson,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s07_the_gauntlet,Adam Larson,1,Snake Soup,S
s07_the_gauntlet,Adam Larson,2,Masquerade,S
s07_the_gauntlet,Adam Larson,3,Mud Bath,S
s07_the_gauntlet,Adam Larson,4,I Scream,S
s07_the_gauntlet,Adam Larson,5,Holey Canoe,S
s07_the_gauntlet,Adam Larson,6,Heavyweight Hustle,S
s07_the_gauntlet,Adam Larson,7,Sink My Ship,S
s07_the_gauntlet,Adam Larson,8,Red Barron,W
s07_the_gauntlet,Adam Larson,9,Inferno,S
s07_the_gauntlet,Adam Larson,10,Rolling on a River,S
s07_the_gauntlet,Adam Larson,11,Turntable,S
s07_the_gauntlet,Adam Larson,12,All or Nothing,S
s07_the_gauntlet,Adam Larson,13,Vertical Sweep,W
s07_the_gauntlet,Adam Larson,14/15,Dukes of Saturn,S
s07_the_gauntlet,Adam Larson,15/16,Gold Rush,W
s11_the_gauntlet_2,Adam Larson,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s11_the_gauntlet_2,Adam Larson,1,Royal Rumble,W
s11_the_gauntlet_2,Adam Larson,2,Chock Full o' Coconuts,L
s21_rivals,Adam Royer,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s21_rivals,Adam Royer,1,High Dive,?
s41_vets_and_new_threats,Adrienne Naylor,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s41_vets_and_new_threats,Adrienne Naylor,1,Mud Ball Madness,S
s41_vets_and_new_threats,Adrienne Naylor,2,Side by Side,S
s41_vets_and_new_threats,Adrienne Naylor,3,Water Tower,S
s41_vets_and_new_threats,Adrienne Naylor,4,Amazed,S
s41_vets_and_new_threats,Adrienne Naylor,5,Dirtballer,S
s41_vets_and_new_threats,Adrienne Naylor,6,Runes My Life,S
s41_vets_and_new_threats,Adrienne Naylor,7,Drive Me Crazy,S
s41_vets_and_new_threats,Adrienne Naylor,8,Cyclone,S
s41_vets_and_new_threats,Adrienne Naylor,9,Broken Dreams,S
s41_vets_and_new_threats,Adrienne Naylor,10,Fast Thinking,L
s41_vets_and_new_threats,Adrienne Naylor,11,Band Together,S
s41_vets_and_new_threats,Adrienne Naylor,12,Running Man,L
s41_vets_and_new_threats,Adrienne Naylor,13,Haystack Heist,L
s41_vets_and_new_threats,Adrienne Naylor,14,Rune Race,S
s41_vets_and_new_threats,Adrienne Naylor,15,Dirty Drifter,L
s41_vets_and_new_threats,Adrienne Naylor,16,Dark Mine,S
s41_vets_and_new_threats,Adrienne Naylor,17,Global Exchange,S
s41_vets_and_new_threats,Adrienne Naylor,18/19,Final Challenge,?
s15_the_gauntlet_iii,Alex Smith,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s15_the_gauntlet_iii,Alex Smith,1,Tug of War,S
s15_the_gauntlet_iii,Alex Smith,1,Piñata Pit,L
s31_vendettas,Alicia Wright,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s31_vendettas,Alicia Wright,1,Get Off the Rock,S
s31_vendettas,Alicia Wright,2/3,Who's Got Balls?,S
s31_vendettas,Alicia Wright,3/4,Vendettas,L
s07_the_gauntlet,Alton Williams,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s07_the_gauntlet,Alton Williams,1,Snake Soup,S
s07_the_gauntlet,Alton Williams,2,Masquerade,S
s07_the_gauntlet,Alton Williams,3,Mud Bath,S
s07_the_gauntlet,Alton Williams,4,I Scream,S
s07_the_gauntlet,Alton Williams,5,Holey Canoe,S
s07_the_gauntlet,Alton Williams,6,Heavyweight Hustle,S
s07_the_gauntlet,Alton Williams,7,Sink My Ship,S
s07_the_gauntlet,Alton Williams,8,Red Barron,S
s07_the_gauntlet,Alton Williams,9,Inferno,W
s07_the_gauntlet,Alton Williams,10,Rolling on a River,S
s07_the_gauntlet,Alton Williams,11,Turntable,L
s07_the_gauntlet,Alton Williams,12,All or Nothing,W
s07_the_gauntlet,Alton Williams,13,Vertical Sweep,W
s07_the_gauntlet,Alton Williams,14/15,Dukes of Saturn,W
s07_the_gauntlet,Alton Williams,15/16,Gold Rush,?
s11_the_gauntlet_2,Alton Williams,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s11_the_gauntlet_2,Alton Williams,1,Royal Rumble,W
s11_the_gauntlet_2,Alton Williams,2,Chock Full o' Coconuts,W
s11_the_gauntlet_2,Alton Williams,3,Team Builders,S
s11_the_gauntlet_2,Alton Williams,4,Moving Pyramid,L
s11_the_gauntlet_2,Alton Williams,5,Spongeworthy,W
s11_the_gauntlet_2,Alton Williams,6,Body Painters,L
s11_the_gauntlet_2,Alton Williams,7,Rickshaw Races,W
s11_the_gauntlet_2,Alton Williams,8,Team Strength,W
s11_the_gauntlet_2,Alton Williams,9,Balancing Act,W
s11_the_gauntlet_2,Alton Williams,10,Buck-A-Neer,W
s11_the_gauntlet_2,Alton Williams,11,Pull Me,S
s11_the_gauntlet_2,Alton Williams,12,Spare Tires,L
s11_the_gauntlet_2,Alton Williams,13,Easy Does It,W
s11_the_gauntlet_2,Alton Williams,14,The Pit,W
s11_the_gauntlet_2,Alton Williams,15,Blind Trust,S
s11_the_gauntlet_2,Alton Williams,16/17,Piece by Piece,W
s11_the_gauntlet_2,Alton Williams,17,Bet Your Booty,W
s14_the_inferno_3,Alton Williams,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s14_the_inferno_3,Alton Williams,1,Unbraided,S
s14_the_inferno_3,Alton Williams,2/3,Ladder Race,L
s14_the_inferno_3,Alton Williams,3,Battering Ram,S
s14_the_inferno_3,Alton Williams,4,Wrap and Roll,S
s14_the_inferno_3,Alton Williams,5,Rope Burn,S
s14_the_inferno_3,Alton Williams,6,Reversible Climbing Wall,S
s14_the_inferno_3,Alton Williams,7,Grape Smash,S
s14_the_inferno_3,Alton Williams,8,Steady as You Go,S
s14_the_inferno_3,Alton Williams,9,Leaps and Bounds,S
s14_the_inferno_3,Alton Williams,10,Dog Day Afternoon,S
s14_the_inferno_3,Alton Williams,11,Hand Car,S
s14_the_inferno_3,Alton Williams,12,Giraffic Park,S
s14_the_inferno_3,Alton Williams,13,Captain's Chair,S
s14_the_inferno_3,Alton Williams,14,Hook Me,S
s14_the_inferno_3,Alton Williams,15,Nothin' but Net,S
s14_the_inferno_3,Alton Williams,16,The Big Five,?
s23_battle_of_the_seasons_2012,Alton Williams,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s23_battle_of_the_seasons_2012,Alton Williams,1,Don't Cross Me,S
s23_battle_of_the_seasons_2012,Alton Williams,2,Oil Change,S
s23_battle_of_the_seasons_2012,Alton Williams,3,"Hook, Line and Sinker",W
s23_battle_of_the_seasons_2012,Alton Williams,4/5,Don't Weigh Me Down,S
s23_battle_of_the_seasons_2012,Alton Williams,5,Chairman of the Board,S
s23_battle_of_the_seasons_2012,Alton Williams,6,Insane Games,S
s23_battle_of_the_seasons_2012,Alton Williams,7,Logged Out,S
s23_battle_of_the_seasons_2012,Alton Williams,8,Hunger Games,S
s23_battle_of_the_seasons_2012,Alton Williams,9,Abandon Ship,L
s28_rivals_iii,Amanda Garcia,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s28_rivals_iii,Amanda Garcia,1/2,Not in Game,?
s28_rivals_iii,Amanda Garcia,3,Dirty Laundry,S
s28_rivals_iii,Amanda Garcia,4/5,Out on a Limb,L
s28_rivals_iii,Amanda Garcia,6,Laps of Judgement,S
s28_rivals_iii,Amanda Garcia,7,Road to Nowhere,L
s29_invasion_of_the_champions,Amanda Garcia,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s29_invasion_of_the_champions,Amanda Garcia,1/2,The Over Under,S
s29_invasion_of_the_champions,Amanda Garcia,3,Shell Shocked,S
s29_invasion_of_the_champions,Amanda Garcia,4,Caged and Confused,W
s29_invasion_of_the_champions,Amanda Garcia,5/6,Knockout,S
s29_invasion_of_the_champions,Amanda Garcia,7,Roll with the Punches,S
s29_invasion_of_the_champions,Amanda Garcia,8,Curry Up,S
s29_invasion_of_the_champions,Amanda Garcia,9/10,Fallout,S
s29_invasion_of_the_champions,Amanda Garcia,10,Crossover,S
s29_invasion_of_the_champions,Amanda Garcia,11,X-It,L
s30_xxx_dirty_30,Amanda Garcia,1,The Purge,S
s30_xxx_dirty_30,Amanda Garcia,1,The Purge,S
s30_xxx_dirty_30,Amanda Garcia,1,The Purge,L
s32_final_reckoning,Amanda Garcia,1,Opening Challenge,W
s32_final_reckoning,Amanda Garcia,2/3,Wreck Yourself,S
s32_final_reckoning,Amanda Garcia,5,Shark Bait,S
s32_final_reckoning,Amanda Garcia,6/7,Off the Rails,W
s32_final_reckoning,Amanda Garcia,7/8,Dig Deep,S
s32_final_reckoning,Amanda Garcia,8/9,Don't Push Me Around,W
s32_final_reckoning,Amanda Garcia,10/11,Dunking for Dinner,S
s32_final_reckoning,Amanda Garcia,11/12,Sky Bridge,S
s32_final_reckoning,Amanda Garcia,12/13,Caged In,L
s33_war_of_the_worlds,Amanda Garcia,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s33_war_of_the_worlds,Amanda Garcia,1,Impending Dune,S
s33_war_of_the_worlds,Amanda Garcia,2,Arms-a-geddon Tired,W
s33_war_of_the_worlds,Amanda Garcia,3,Search and Destroy,S
s33_war_of_the_worlds,Amanda Garcia,4,Fallout,S
s33_war_of_the_worlds,Amanda Garcia,5,Tired Out,S
s33_war_of_the_worlds,Amanda Garcia,6,Doom Buggy,S
s33_war_of_the_worlds,Amanda Garcia,7,Eye in the Sky,L
s37_spies_lies_allies,Amanda Garcia,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s37_spies_lies_allies,Amanda Garcia,1,Compromised,S
s37_spies_lies_allies,Amanda Garcia,2,Heli Heist,S
s37_spies_lies_allies,Amanda Garcia,3,Sea Cave Recon,S
s37_spies_lies_allies,Amanda Garcia,4,Undercover Comms,S
s37_spies_lies_allies,Amanda Garcia,5,Mindfield,S
s37_spies_lies_allies,Amanda Garcia,6/7,Turning Agents,S
s37_spies_lies_allies,Amanda Garcia,8,Dive Bomb,S
s37_spies_lies_allies,Amanda Garcia,9,Bombshell Battle,S
s37_spies_lies_allies,Amanda Garcia,10,Diamond Dash,S
s37_spies_lies_allies,Amanda Garcia,11,Satellite Sabotage,S
s37_spies_lies_allies,Amanda Garcia,12,Brush Contact,S
s37_spies_lies_allies,Amanda Garcia,13,Sunken Intelligence,S
s37_spies_lies_allies,Amanda Garcia,14,Submerged,L
s37_spies_lies_allies,Amanda Garcia,15,Boom Raiders,S
s37_spies_lies_allies,Amanda Garcia,16,Million Dollar Heist,W
s37_spies_lies_allies,Amanda Garcia,17,Dead Drop,S
s37_spies_lies_allies,Amanda Garcia,18,,?
s40_battle_of_the_eras,Amanda Garcia,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s40_battle_of_the_eras,Amanda Garcia,1/2,Light It Up,L
s03_challenge_2000,Amaya Brecher,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s03_challenge_2000,Amaya Brecher,1,Stratos-Fear,?
s03_challenge_2000,Amaya Brecher,2,Demolition Derby,W
s03_challenge_2000,Amaya Brecher,2,Tobacco Free,?
s03_challenge_2000,Amaya Brecher,3,Wheel of Wrestling,W
s03_challenge_2000,Amaya Brecher,4,Snake Wrangling,?
s03_challenge_2000,Amaya Brecher,4,Scavenger Hunt,?
s03_challenge_2000,Amaya Brecher,5,Redneck Games,?
s03_challenge_2000,Amaya Brecher,6,Mud Football,?
s03_challenge_2000,Amaya Brecher,7,Swamp Buggy Racing,?
s03_challenge_2000,Amaya Brecher,9,Homemade Swimsuit Contest,W
s03_challenge_2000,Amaya Brecher,10,Stir Crazy,?
s03_challenge_2000,Amaya Brecher,11,Handsome Reward,?
s06_battle_of_the_sexes,Amaya Brecher,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s06_battle_of_the_sexes,Amaya Brecher,1/2,Sergeant Says,W
s06_battle_of_the_sexes,Amaya Brecher,3,Dead Man's Drop,S
s06_battle_of_the_sexes,Amaya Brecher,4,Tree House,S
s06_battle_of_the_sexes,Amaya Brecher,5,Breath-Hold Bungee,S
s06_battle_of_the_sexes,Amaya Brecher,7,Seven Rings of Saturn,L
s36_double_agents,Amber Borzotra,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s36_double_agents,Amber Borzotra,1,Decryption,S
s36_double_agents,Amber Borzotra,2,Ice Spy,S
s36_double_agents,Amber Borzotra,3,Road Kill,S
s36_double_agents,Amber Borzotra,4,Drone Control,S
s36_double_agents,Amber Borzotra,5,Agent Down,S
s36_double_agents,Amber Borzotra,6,Smuggle Run,S
s36_double_agents,Amber Borzotra,7,Aerial Takedown,S
s36_double_agents,Amber Borzotra,8,All Brawl,S
s36_double_agents,Amber Borzotra,9,Interrogation,W
s36_double_agents,Amber Borzotra,10,Black Sand Ops,L
s36_double_agents,Amber Borzotra,11/12,Air Lift,S
s36_double_agents,Amber Borzotra,12/13,Survive the Night,S
s36_double_agents,Amber Borzotra,14,Undercover,S
s36_double_agents,Amber Borzotra,15,Spy Dive,S
s36_double_agents,Amber Borzotra,16,Global Domination,L
s36_double_agents,Amber Borzotra,17,Escape the Volcano,S
s36_double_agents,Amber Borzotra,18/19,Final Mission,W
s37_spies_lies_allies,Amber Borzotra,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s37_spies_lies_allies,Amber Borzotra,1,Not in Game,?
s37_spies_lies_allies,Amber Borzotra,2,Heli Heist,S
s37_spies_lies_allies,Amber Borzotra,3,Sea Cave Recon,S
s37_spies_lies_allies,Amber Borzotra,4,Undercover Comms,L
s37_spies_lies_allies,Amber Borzotra,5,Mindfield,S
s37_spies_lies_allies,Amber Borzotra,6/7,Turning Agents,S
s37_spies_lies_allies,Amber Borzotra,8,Dive Bomb,S
s37_spies_lies_allies,Amber Borzotra,9,Bombshell Battle,L
s38_ride_or_dies,Amber Borzotra,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s38_ride_or_dies,Amber Borzotra,1,Bolas for Blood,S
s38_ride_or_dies,Amber Borzotra,2,Balancing Act,S
s38_ride_or_dies,Amber Borzotra,3,Build Me Up,S
s38_ride_or_dies,Amber Borzotra,4,Hold On for Me,S
s38_ride_or_dies,Amber Borzotra,5,Royal Relay,S
s38_ride_or_dies,Amber Borzotra,6,Down the Line,S
s38_ride_or_dies,Amber Borzotra,7,Peaking Blinders,L
s38_ride_or_dies,Amber Borzotra,8,Double Trouble,S
s38_ride_or_dies,Amber Borzotra,9,Haul or Nothing,S
s38_ride_or_dies,Amber Borzotra,10,Last Life,S
s38_ride_or_dies,Amber Borzotra,11,Spin Class,L
s38_ride_or_dies,Amber Borzotra,12,Chopper Drop,W
s38_ride_or_dies,Amber Borzotra,13,Blind Faith,S
