season_id,player,episode,game,result
s07_the_gauntlet,Abram Boise,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s07_the_gauntlet,Abram Boise,1,Snake Soup,S
s07_the_gauntlet,Abram Boise,2,Masquerade,S
s07_the_gauntlet,Abram Boise,3,Mud Bath,S
s07_the_gauntlet,Abram Boise,4,I Scream,S
s07_the_gauntlet,Abram Boise,5,Holey Canoe,S
s07_the_gauntlet,Abram Boise,6,Heavyweight Hustle,S
s07_the_gauntlet,Abram Boise,7,Sink My Ship,S
s07_the_gauntlet,Abram Boise,8,Red Barron,S
s07_the_gauntlet,Abram Boise,9,Inferno,S
s07_the_gauntlet,Abram Boise,10,Rolling on a River,S
s07_the_gauntlet,Abram Boise,11,Turntable,S
s07_the_gauntlet,Abram Boise,12,All or Nothing,L
s08_the_inferno,Abram Boise,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s08_the_inferno,Abram Boise,1,Grope the Rope,S
s08_the_inferno,Abram Boise,2,Bird Feeder,S
s08_the_inferno,Abram Boise,3,Wreck N' Roll,S
s08_the_inferno,Abram Boise,4,Climbing Wall,S
s08_the_inferno,Abram Boise,5,Disco Domino Derby,S
s08_the_inferno,Abram Boise,6,Balls Out,S
s08_the_inferno,Abram Boise,7,Ultimate Saturn Road Trip,S
s08_the_inferno,Abram Boise,8,Don't Yank My Chain,S
s08_the_inferno,Abram Boise,9,Come Sail Away,S
s08_the_inferno,Abram Boise,10,Bungee Bound,S
s08_the_inferno,Abram Boise,11,Twist and Shoot,S
s08_the_inferno,Abram Boise,12,Balcony Swing,S
s08_the_inferno,Abram Boise,13,Fallen Angels,S
s08_the_inferno,Abram Boise,14/15,Saturn Valet Ballet,S
s08_the_inferno,Abram Boise,15/16,Window Washing,S
s08_the_inferno,Abram Boise,17,Seven Deadly Sins,W
s09_battle_of_the_sexes_2,Abram Boise,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s09_battle_of_the_sexes_2,Abram Boise,1/2,Dangle Drop,W
s09_battle_of_the_sexes_2,Abram Boise,3,Snake Pit Poker,S
s09_battle_of_the_sexes_2,Abram Boise,4,Melt with You,S
s09_battle_of_the_sexes_2,Abram Boise,5,Bombs Away,L
s10_the_inferno_ii,Abram Boise,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s10_the_inferno_ii,Abram Boise,1,Surf Torture,S
s10_the_inferno_ii,Abram Boise,2,Juice It Up,S
s10_the_inferno_ii,Abram Boise,3,X Marks the Spot,S
s10_the_inferno_ii,Abram Boise,4,Run for Your Money,S
s10_the_inferno_ii,Abram Boise,5,Shirt Off My Back,S
s10_the_inferno_ii,Abram Boise,6,Dodge Yer Balls,S
s10_the_inferno_ii,Abram Boise,7,Fill in the Gaps,S
s10_the_inferno_ii,Abram Boise,8,Zip Up,S
s10_the_inferno_ii,Abram Boise,9,Never Ending Climb,S
s10_the_inferno_ii,Abram Boise,10,What a Drag,L
s10_the_inferno_ii,Abram Boise,11,Riddle Me This,S
s10_the_inferno_ii,Abram Boise,12,Time to Ride,S
s10_the_inferno_ii,Abram Boise,13,If Memory Serves,S
s10_the_inferno_ii,Abram Boise,14,Crab Grab,S
s10_the_inferno_ii,Abram Boise,15,Heart Rate Bungee,S
s10_the_inferno_ii,Abram Boise,16,Montezuma's Revenge,?
s14_the_inferno_3,Abram Boise,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s14_the_inferno_3,Abram Boise,1,Unbraided,S
s14_the_inferno_3,Abram Boise,2/3,Ladder Race,W
s14_the_inferno_3,Abram Boise,3,Battering Ram,S
s14_the_inferno_3,Abram Boise,4,Wrap and Roll,S
s14_the_inferno_3,Abram Boise,5,Rope Burn,S
s14_the_inferno_3,Abram Boise,6,Reversible Climbing Wall,W
s14_the_inferno_3,Abram Boise,7,Grape Smash,S
s14_the_inferno_3,Abram Boise,8,Steady as You Go,S
s14_the_inferno_3,Abram Boise,9,Leaps and Bounds,S
s14_the_inferno_3,Abram Boise,10,Dog Day Afternoon,L
s14_the_inferno_3,Abram Boise,11,Hand Car,S
s14_the_inferno_3,Abram Boise,12,Giraffic Park,S
s14_the_inferno_3,Abram Boise,13,Captain's Chair,S
s14_the_inferno_3,Abram Boise,14,Hook Me,S
s14_the_inferno_3,Abram Boise,15,Nothin' but Net,S
s14_the_inferno_3,Abram Boise,16,The Big Five,W
s16_the_island,Abram Boise,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s16_the_island,Abram Boise,1,Leaning Tower,W
s16_the_island,Abram Boise,2,Ring Wrestle,L
s20_cutthroat,Abram Boise,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s20_cutthroat,Abram Boise,1,Gas Problems,W
s20_cutthroat,Abram Boise,2,Brain Buster,S
s20_cutthroat,Abram Boise,3,Bed Head,S
s20_cutthroat,Abram Boise,4,Bottleneck Stampede,S
s20_cutthroat,Abram Boise,5,Surf's Up,W
s20_cutthroat,Abram Boise,6,Sky Hook,W
s20_cutthroat,Abram Boise,7,Gimme a Hand,S
s20_cutthroat,Abram Boise,8/9,High Ball,W
s20_cutthroat,Abram Boise,9/10,Riot Act,W
s20_cutthroat,Abram Boise,10,Czech Point,?
s22_battle_of_the_exes,Abram Boise,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s22_battle_of_the_exes,Abram Boise,1,Give Me Some Honey,S
s22_battle_of_the_exes,Abram Boise,2,Hook Up,S
s22_battle_of_the_exes,Abram Boise,3,Mental Connection,S
s22_battle_of_the_exes,Abram Boise,4,Rolling in the Deep,S
s22_battle_of_the_exes,Abram Boise,5,Don't Rock the Boat,L
s27_battle_of_the_bloodlines,Abram Boise,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s27_battle_of_the_bloodlines,Abram Boise,1,Not in Game,?
s27_battle_of_the_bloodlines,Abram Boise,2,Not in Game,?
s27_battle_of_the_bloodlines,Abram Boise,3/4,Not in Game,?
s27_battle_of_the_bloodlines,Abram Boise,4/5,Air to the Throne,W
s27_battle_of_the_bloodlines,Abram Boise,6,Family Connection,W
s27_battle_of_the_bloodlines,Abram Boise,7,Hand Me Down,W
s27_battle_of_the_bloodlines,Abram Boise,8,Too Clingy,W
s27_battle_of_the_bloodlines,Abram Boise,9,Air Pockets,L
s08_the_inferno,Ace Amerson,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s08_the_inferno,Ace Amerson,1,Grope the Rope,S
s08_the_inferno,Ace Amerson,2,Bird Feeder,L
s09_battle_of_the_sexes_2,Ace Amerson,"{| class=""wikitable"" style=""margin:left; text-align:center; font-size: 9pt;""",,?
s09_battle_of_the_sexes_2,Ace Amerson,1/2,Dangle Drop,S
s09_battle_of_the_sexes_2,Ace Amerson,3,Snake Pit Poker,L
