episode,gender,game,winner,loser
1,,N/A,Kenny Santucci,Tonya Cooley
5,,,Dan Walsh,Tyri Ballard-Brown
6,,,Derrick Kosinski,Cohutta Grindstaff
7,,,Johanna Botta,Colie
