episode,challenge,format,role,winner
1,Leaning Tower,individual,prize,Kenny Santucci
1,Leaning Tower,individual,safety,Tonya Cooley
2,Ring Wrestle,individual,prize,Derrick Kosinski
2,Ring Wrestle,individual,safety,Johnny Bananas
3,The Rack,individual,prize,Rachel Robinson
3,The Rack,individual,safety,Robin Hibbard
4,Ball Buster,individual,prize,Jenn Grijalva
4,Ball Buster,individual,safety,Paula Meronek
5,Bridge It,individual,prize,Evelyn Smith
5,Bridge It,individual,safety,Tyri Ballard-Brown
6,Rat in a Cage,individual,prize,Derrick Kosinski
6,Rat in a Cage,individual,safety,Johnny Bananas
7,Timber,individual,prize,Johanna Botta
7,Timber,individual,safety,Ryan Kehoe
8,Water Bound,individual,prize,Evelyn Smith
8,Water Bound,individual,safety,Evelyn Smith
