player,gender,finish,origin,team,pair_id
Dan Renzi,,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: Miami,Real World,
Jamie Murray,,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,
Julie Stoffer,,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,
Kameelah Phillips,,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: Boston,Real World,
Rebecca Lord,,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: Seattle,Real World,
Syrus Yarbrough,,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: Boston,Real World,
Christian Breivik,,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: USA – The Second Adventure,Road Rules,
Emily Bailey,,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: USA – The Second Adventure,Road Rules,
James Orlando,,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: Maximum Velocity Tour,Road Rules,
Laterrian Wallace,,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: Maximum Velocity Tour,Road Rules,
Michelle Parma,,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: Europe,Road Rules,
Susie Meister,,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: Down Under,Road Rules,
Ayanna Mackins,,Disqualified in Ayanna's Departure,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,
