episode,gender,game,winner,loser
1,,Dead Man's Drop,Sarah Greyson,David Broom
2,,Ride 'Em Cowboy,Katie Cooley,Montana McGlynn
3,,Perfect Fit,Steve Meinke,Tonya Cooley
4,,Hangman,Rachel Braband,Katie Cooley
5,,Dead Man's Drop,Coral Smith,Tina Barta
6,,Dead Man's Drop,Sarah Greyson,Matt Smith
7,,Knock Your Block Off,Cara Zavaleta,Elka Walker
8,,Perfect Fit,Trishelle Cannatella,Steve Meinke
9,,Perfect Fit,Sarah Greyson,Trishelle Cannatella
10,,Ride 'Em Cowboy,Sarah Greyson,Rachel Braband
11,,Pole Climb,Alton Williams,Laterrian Wallace
12,,Knock Your Block Off,Mike Mizanin,Abram Boise
13,,Dead Man's Drop,Sarah Greyson,Irulan Wilson
14/15,,Ride 'Em Cowboy,Cara Zavaleta,Theo Gantt
