episode,gender,game,winner,loser
1,M,Last Chance,Derek Chavez,Dunbar Merrill
1,M,Last Chance,Derek Chavez,Tyri Ballard-Brown
1,M,Last Chance,Robb Schreiber,Dunbar Merrill
1,M,Last Chance,Robb Schreiber,Tyri Ballard-Brown
2,F,Hanging by a Thread,Cara Maria Sorbello,Anastasia Miller
2,F,Hanging by a Thread,Cara Maria Sorbello,Jessica McCain
2,F,Hanging by a Thread,Heather Cooke,Anastasia Miller
2,F,Hanging by a Thread,Heather Cooke,Jessica McCain
3,M,Snapper,Ryan Knight,Derek Chavez
3,M,Snapper,Ryan Knight,Robb Schreiber
3,M,Snapper,Preston Roberson-Charles,Derek Chavez
3,M,Snapper,Preston Roberson-Charles,Robb Schreiber
5,M,Breaking on Through,Leroy Garrett,Trey Weatherholtz
5,M,Breaking on Through,Leroy Garrett,Zach Nichols
5,M,Breaking on Through,Ty Ruff,Trey Weatherholtz
5,M,Breaking on Through,Ty Ruff,Zach Nichols
6,F,Catch-22,Camila Nakagawa,Jasmine Reynaud
6,F,Catch-22,Camila Nakagawa,Theresa Jones
6,F,Catch-22,Jemmye Carroll,Jasmine Reynaud
6,F,Catch-22,Jemmye Carroll,Theresa Jones
7,M,Last Chance,Jordan Wiseley,Leroy Garrett
7,M,Last Chance,Jordan Wiseley,Ty Ruff
7,M,Last Chance,Marlon Williams,Leroy Garrett
7,M,Last Chance,Marlon Williams,Ty Ruff
8,F,Snapper,Cara Maria Sorbello,Jonna Mannion
8,F,Snapper,Cara Maria Sorbello,Nany González
8,F,Snapper,Heather Cooke,Jonna Mannion
8,F,Snapper,Heather Cooke,Nany González
9,M,Breaking on Through,Jordan Wiseley,Ryan Knight
9,M,Breaking on Through,Jordan Wiseley,Preston Roberson-Charles
9,M,Breaking on Through,Marlon Williams,Ryan Knight
9,M,Breaking on Through,Marlon Williams,Preston Roberson-Charles
10/11,F,Hanging by a Thread,Camila Nakagawa,Aneesa Ferreira
10/11,F,Hanging by a Thread,Camila Nakagawa,Diem Brown
10/11,F,Hanging by a Thread,Jemmye Carroll,Aneesa Ferreira
10/11,F,Hanging by a Thread,Jemmye Carroll,Diem Brown
